,0
0,vijaykrish u congratul
1,aarthi thak dr
2,kannan good eve
3,karthi good eve
4,itzdhana thank natp
5,natarajkumaresh appo first trail thambiku
6,natarajkumaresh thambiiii
7,rajakumaari sumi twitz innam day la k confirm ah aagidum
8,premnathpk enna atch sago
9,thangaraj mahe good morn
10,twit yathri en twitt ku like comment pnnuvathu
11,natarajkumaresh good morn thambiiii
12,silenttwit silenttwit intha mela doubt
13,desigan k suriya offl visit hous thenh twitter better instead social media share broken heart
14,himanivanni chennaicorp karthi offl etrajan albyjohnv need cri pleas cri bjp win never happen
15,himanivanni akashpandian mareeswari offl chennaicorp karthi offl good pr exercis real work ground http co psvyj jvx
16,himanivanni chennaicorp karthi offl etrajan albyjohnv moreov tamilnadu dont want bjp want leader guid peopl provid opportun tn peopl peopl never said edappadi govt bad peopl select dmk admk amp bjp tie http co phkm l fj show failur comment think
17,himanivanni chennaicorp karthi offl etrajan albyjohnv jayalalitha chief guest suriya marriag ever know call dog u r bjp support u right speak everyon gud opposit parti period even gave c last period u time
18,himanivanni chennaicorp karthi offl etrajan albyjohnv need earn money way karthi less fame vijay ajith approach right seen transact stalin want mani popular peopl money one money
19,ushak never saw post creat awar dengu corona televis also
20,ushak need awar right pleas let never discourag anyon
21,himanivanni chennaicorp karthi offl etrajan albyjohnv understood say like think bjp support like stalin suriya famili member met right
22,ushak everyon know need done someon benefit session good right
23,mareeswari offl mani even mask vaccin
24,himanivanni mareeswari offl chennaicorp karthi offl one lick floor
25,mareeswari offl that said hav told u long mid way nsd wavw
26,ushak peopl like us even know need vaccin even mani doubt googl need inform trustabl sourc visit hospit consult obvious charg consult
27,mareeswari offl himanivanni chennaicorp karthi offl theori sanghi creat get orgasm type http co pxbm ki hr consid
28,himanivanni chennaicorp karthi offl get
29,ushak chennaicorp karthi offl etrajan albyjohnv also donat need awar think great initi
30,urgent need oxygen bed salem mother law patient name mareeswari age symptom breath difficulti spo level lung infect ct score contact covidemergencyindia covidsecondwav covidhelp
31,urgent need oxygen bed salem mother law patient name mareeswari age symptom breath difficulti spo level lung infect ct score contact covidemergencyindia covidsecondwav covidhelp
32,agaramvis done part
33,studiogreen suriya offl samanthaprabhu menennithya arrahman vikram k kumar rajsekarpandian entpvtltd erosnow kegvraja school life
34,karthi offl unbeliev ripkvanand sir may soul rest peac
35,atharvaamurali take care wish speed recoveri back normal soom
36,mareeswari offl dulquer dianapenti music santhosh sreekar prasad dqswayfarerfilm present small teaser reaction video si aravind karunakaran salut role want see dulquer long time kurupteas dulquersalmaan impress us watch reaction video saluteteas http co cslbrwbje
37,dulquer dianapenti music santhosh sreekar prasad dqswayfarerfilm teaser lit eagerli wait
38,suriya offl pandiraj dir rathnaveludop immancompos sunpictur antonylruben jacki art anbariv singam back
39,amak true deserv love success
40,diehard fan suriya offl love kollywoodemperorsuriya
41,guy let make speed start trend rage valimai thalafansdominatestwitt
42,thalafansdominatestwitt tag inch toward tweet count k tweet valimai ajithkumar
43,mareeswari happi valentin day mareeswari
44,karthi offl happi hear
45,atharvaamurali amitashpradhan dancersatz georg dop anive madhankarki sonymusicsouth oneplu onlynikil kavyagiri happi advanc valentin wish love
46,dulquer yay love
47,getwellsoonsuriyaanna prayer thought speedi recoveri suriya offl take care http co npvdutqsea
48,suriya offl get well soon take care
49,dearest actormadhavan want call bro crush ever sinc childhood movi stressbust feel good movi forev never disappoint us becam mad yaarazhaipathu love ur fangirl http co gqufucqxam
