,0,Datetime
0,"@SrishtyRanjan Huh..people call Modi chor, chaiwala that is not sexist..now you're making it and spreading it with the word dalit..now should everyone starts pointing towards their caste...shame on you to spread hate based on caste...did he mention dalit anywhere..",2021-05-27 03:53:02+00:00
1,"@ttindia Sanghis have created a living hell in Jammu, Kashmir and Ladakh.",2021-05-27 03:53:02+00:00
2,@KeepPeace100 @PunjabiTeam @TheInvi99642811 @Nikhil4INDI @butterfly0o0o0 @HumaneKarr @Jessicakaur78 There are many articles. Many anti modi media have covered this news.,2021-05-27 03:52:47+00:00
3,@Avaneesh_up67 @Abhishe42990169 MODI is destroying our culture 🧫,2021-05-27 03:52:43+00:00
4,"We are together in the fight of saving farming from hands of corporates!

Modi repeal or deal with farmers!
 
#एकजुट_किसान_मोदी_परेशान 
@Sakib_hassan_

 https://t.co/Ium3WJ0buj",2021-05-27 03:52:33+00:00
5,"PM Modi | Godi Media | Rubika Liyaquat | Anjana |Kangana | Amit Shah | B... https://t.co/TXpbUBym1C via @YouTube Yogi’s Killer Police. Not to serve and protect. But to extort, torment, torture, kill, oppress and persecute the Public. Ask anyone in his STATE.",2021-05-27 03:52:27+00:00
6,"@UshaNirmala @laxman_xy This women @kiranshaw is an anathema to our nation. Spreading only fake news. There is no Indian variant, only Wahun virus now mixed with HIV virus with their army and Pakistanis to spread it in India attacking us and Modi Ji.",2021-05-27 03:52:25+00:00
7,"In Modi rule -

-Democracy is dead
-Economy is dead
-Health ministry is dead
-Foreign Affair ministry is dead
-we the people of India are either dead or living dead !

#KafanChorBJP",2021-05-27 03:52:08+00:00
8,@pinakasena Pmo admin handling account. Not modi himself. He has no time to spend in social media. Works 16-17 hrs for nation.,2021-05-27 03:52:01+00:00
9,@SpiritOfCongres @KibaVenisha I've Pakistani friends who when arguing with their breed of bhakts used to quote India's progress and openness as an example to follow. Even they are disappointed with what Modi has done. Some believe it is worse than what Zia did to Pakistan. Generations to come will suffer 😔,2021-05-27 03:52:01+00:00
10,@Vishaldabhi3001 Yes bro😔😔.but people will forget all things and again start licking modi ass.,2021-05-27 03:52:00+00:00
11,Narendra Modi as @PMOIndia has single handedly destroyed the lives of people of India. He has already joined the leagues of Idi Amin. https://t.co/VHms4v2yny https://t.co/Dl9arbJaXx,2021-05-27 03:51:50+00:00
12,We are still strong and fighting against evil modi #एकजुट_किसान_मोदी_परेशान #ModiResign #MSP_गारंटी_बिल_कब_बनेगा https://t.co/U8VeaZ15dV,2021-05-27 03:51:47+00:00
13,"@SRSekharBJP Dog sekar!!
Not Action!
Only Acting Black Day for Nation.
Modi should Resign Immediately.",2021-05-27 03:51:45+00:00
14,@LiveBaitTrap @The_veenaD Ur so called northern cow belt is only UP no one else gives a fuck to modi...so get the facts right,2021-05-27 03:51:45+00:00
15,Why is Modi angry with Twitter? https://t.co/BXwB8WCEHS,2021-05-27 03:51:41+00:00
16,Modi ji is the only leader in the world to cry over mishandling of Covid. Rest all resigned.,2021-05-27 03:51:29+00:00
17,"Because Modi did not order enough vaccines &amp; prepare for Covid, thousands of Indians died gasping for breath, hundreds of bodies floated down the Ganga, those buried in shallow graves on the banks were eaten by dogs, but mad @_YogendraYadav thinks there’s no alternative to Modi.",2021-05-27 03:51:28+00:00
18,@aajtak All frauds took place during Congress Government All fraudulent ran Away and now getting scrutinized during BJP Government but still some literate idiots find it so difficult to understand such a simple thing.....Inka Modi kya Bhagwan bhi kuch nahi kar sakta,2021-05-27 03:51:25+00:00
19,@Swamy39 @Janpratinidhi_ You have been an co-conspirator of Modi’s looting. Legally you all ganged up against middle class Indians. Karma is a bitch.,2021-05-27 03:51:25+00:00
20,"@SanjayG45255210 1947, almost 80% struggled for ONE meal and 87% cant read/write. Then,by 2002,  food surplus + 76% literacy. No democracy progressed as India did. India progressed slowly ( due to various reasons )but, under Modi H vs M hatred only grows but economy slower than Bangladesh.",2021-05-27 03:51:20+00:00
21,"@sonaliranade Leaders of that era were openly critical but never enemy ( matved not Maanved). But history is being twisted and used like poisonous dagger by the right to destroy his image. Patel, Shastri, Bose If they were alive they would have taken Modi out for just saying stupid things",2021-05-27 03:51:19+00:00
22,It is beyond any doubt that there exit no alternative of Modi ji as Prime Minister. https://t.co/fCkn8p62ku,2021-05-27 03:51:15+00:00
