,0,Datetime
0,"#एकजुट_किसान_मोदी_परेशान
@narendramodi #FarmerProtest #Modi_Nahi_Kisan_Jitega 
Support Indian farmers 
Tweet for Indian farmers 
Write for Indian farmers 
Use social media for Indian farmers 
Tell your friends about Indian farmers 
When you eat remember Indian farmers 
❤️🙏🇮🇳 https://t.co/UonyesUQMx",2021-05-27 03:53:02+00:00
1,given importance of #UttarPradesh (80 #loksabha seats) polls next year good move by #modi + #bihar 40 seats =&gt; if #BJP wins 100 seats certain to form 2024 https://t.co/oD97xEU5yY,2021-05-27 03:53:01+00:00
2,"Modi means business"" declared a Time magazine cover in 2012.
Time magazine Judgement come true after collaboration of Modi - Mukesh business empire . #KafanChorBJP",2021-05-27 03:52:57+00:00
3,"The Modi government at the center has taken important decisions in the interest of farmers, the farmer is happy and is with the Modi government.

 And the middleman dacoit is upset, frustrated, desperate.

#किसान_खुश_डकैत_परेशान #किसान_खुश_डकैत_परेशान https://t.co/T1foFsvrwU",2021-05-27 03:52:56+00:00
4,"Modi means business"" declared a Time magazine cover in 2012.
Time magazine Judgement come true after collaboration of Modi - Mukesh business empire . #KafanChorBJP",2021-05-27 03:52:54+00:00
5,@Vijayagni53 @RahulGandhi @narendramodi Yes yes we all see Modi https://t.co/vgNwa06jGV,2021-05-27 03:52:47+00:00
6,"@ranvijaylive @aartic02 Modi and toadies tried to divide us, by making up non-issues.

They tried to play HR vs PB, Jaat vs Mazdoor, and other caste and religion angles. 

But ALL FAILED.

We believe in our shared Dharma of Kisani and stand but it.

#एकजुट_किसान_मोदी_परेशान https://t.co/Rg9JovmtTS",2021-05-27 03:52:47+00:00
7,"@VijayGoelBJP How can he stop, this type of politics is there toolkit.
I sure if Amit Shah and PM Modi would not have taken action for people of Delhi , Delhi would have been disaster

Audit and investigation is required for all so called Mohlah clinic, Oxygen, free commitment  corruption etc.",2021-05-27 03:52:34+00:00
8,"PM Modi-President Macron discuss bilateral, regional, global issues https://t.co/YIUGYPtK1A",2021-05-27 03:52:33+00:00
9,@amitmalviya it is basically a setting between modi and his business partners and the administrator is just making the way for them very soon you will listen  that adani  or ambani is doing something in lakshadweep,2021-05-27 03:52:30+00:00
10,"@Road2India @RKMOHAP @amitmalviya @ArvindKejriwal Bedi ji,

USA economy will increase in this qtr.
China adoupt one child policy.
Etc....

Did u think modi government will take others credit ?

Modi supplying vaccination, supporting in testing process.

What natawarlal done without advertisement ?

Mohla clinic ?",2021-05-27 03:52:27+00:00
11,"India's Farmers only have requested the Modi government to repeal the farmers laws.
#एकजुट_किसान_मोदी_परेशान
 The World is Watching https://t.co/evZSm1r5y1",2021-05-27 03:52:24+00:00
12,"Even after 6 months, Farmers stand together for upliftment of rural India &amp; against laws authored by crony capitalists

Modi Govt working only for Corporates, trashed every democractic parliamentary procedure to push unconstitutional farm laws on India

#एकजुट_किसान_मोदी_परेशान https://t.co/0AWceNksoW",2021-05-27 03:52:24+00:00
13,Why SELECTIVELY? Than? Leaving vital issue of FREEDOM of Moving agriculture products. Count the number of BORN protestors. You will find them every where when Modi jee does some path breaking steps for the benefit of public in general. They will burry their Head one day. Wait.,2021-05-27 03:52:23+00:00
14,Reality Belies Modi Govt Claims of Implementing Swaminathan Commission's Report https://t.co/GKtRGAr3y2,2021-05-27 03:52:23+00:00
15,@MaryDil29664033 @yasirr_gulzar @uday2704 @CNN Biden inherited the covid vaccine. If Trump was president the virus would also have been controlled. This is not comparable to India where there are no other candidates who are better suited than Modi. I would love other better candidates but there aren't any right now.,2021-05-27 03:52:20+00:00
16,"Nation With PM Modi Ji .
@narendramodi
#WeLovePmModiJi https://t.co/o6z6yijJWm",2021-05-27 03:52:17+00:00
17,"Team Modi Drove Us Into a Ditch. Who Will Be Held Accountable?

https://t.co/4JU0GqXxlX",2021-05-27 03:52:06+00:00
18,"#TheHinduDailyQuiz

Who is the new director of the CBI? 

1. YC Modi 
2. Rakesh Asthana 
3. Subodh Kumar Jaiswal 
4. Abhishek Dayal 

To find the answer and play the full quiz, visit: https://t.co/J9fH4zGKKS https://t.co/Y0JqHQidEo",2021-05-27 03:52:05+00:00
19,"Success isn't measured by money or power or social rank. Success is measured by your discipline and inner peace.  Therefore Modi is not successful. 
#एकजुट_किसान_मोदी_परेशान
 Repeal Farm Laws https://t.co/g84lFEBb84",2021-05-27 03:51:53+00:00
20,"Branding himself as the “Chowkidar” of the wealth of the nation Narendra Modi had loudly  said “Na khaunga, na khane dunga” after becoming PM . But all his promises to curb corruption stand exposed, as a recently-conducted study proves #KafanChorBJP",2021-05-27 03:51:48+00:00
21,"@mr_Meghwal2 Modi handled wave2 better compared to any other state. Yes we have oxygen supply issues and hospitals and health care  but do you think 60 years Congress ruling did nothing,  no hospitals, not enough doctors,  no healthcare. Listen to Dr shetty. https://t.co/bStoGe8fYp",2021-05-27 03:51:48+00:00
22,@jothims India would have become Kenya like situations if Modi became the 1st PM,2021-05-27 03:51:47+00:00
23,"75%of people believe corruption has increased under Modi Govt, says CMS study #KafanChorBJP",2021-05-27 03:51:31+00:00
24,"@mv_30 Then what is CBI waiting for????He will be next malya, nirav modi  in this manner
SSRians Rely On CBI Chief",2021-05-27 03:51:30+00:00
25,"Modi has brought this bill only to please his bosses as inflation is only benefiting the corporates While it is not written anywhere But in the farmers' bills it is clearly written for storage then how can it benefit the farmers
#एकजुट_किसान_मोदी_परेशान https://t.co/RZyF8JviAd",2021-05-27 03:51:27+00:00
26,"75% of people believe corruption has increased under Modi Govt, says CMS study
#KafanChorBJP",2021-05-27 03:51:25+00:00
27,@PChidambaram_IN @Ajitkumar_Kanan Modi govt will bend all the rules to suit in their favour.,2021-05-27 03:51:21+00:00
