,0
0,"@SrishtyRanjan Huh..people call Modi chor, chaiwala that is not sexist..now you're making it and spreading it with the word dalit..now should everyone starts pointing towards their caste...shame on you to spread hate based on caste...did he mention dalit anywhere.."
1,"@ttindia Sanghis have created a living hell in Jammu, Kashmir and Ladakh."
2,@Avaneesh_up67 @Abhishe42990169 MODI is destroying our culture 🧫
3,"We are together in the fight of saving farming from hands of corporates!

Modi repeal or deal with farmers!
 
#एकजुट_किसान_मोदी_परेशान 
@Sakib_hassan_

 https://t.co/Ium3WJ0buj"
4,"In Modi rule -

-Democracy is dead
-Economy is dead
-Health ministry is dead
-Foreign Affair ministry is dead
-we the people of India are either dead or living dead !

#KafanChorBJP"
5,@pinakasena Pmo admin handling account. Not modi himself. He has no time to spend in social media. Works 16-17 hrs for nation.
6,@SpiritOfCongres @KibaVenisha I've Pakistani friends who when arguing with their breed of bhakts used to quote India's progress and openness as an example to follow. Even they are disappointed with what Modi has done. Some believe it is worse than what Zia did to Pakistan. Generations to come will suffer 😔
7,@Vishaldabhi3001 Yes bro😔😔.but people will forget all things and again start licking modi ass.
8,Narendra Modi as @PMOIndia has single handedly destroyed the lives of people of India. He has already joined the leagues of Idi Amin. https://t.co/VHms4v2yny https://t.co/Dl9arbJaXx
9,We are still strong and fighting against evil modi #एकजुट_किसान_मोदी_परेशान #ModiResign #MSP_गारंटी_बिल_कब_बनेगा https://t.co/U8VeaZ15dV
10,"@SRSekharBJP Dog sekar!!
Not Action!
Only Acting Black Day for Nation.
Modi should Resign Immediately."
11,@LiveBaitTrap @The_veenaD Ur so called northern cow belt is only UP no one else gives a fuck to modi...so get the facts right
12,Modi ji is the only leader in the world to cry over mishandling of Covid. Rest all resigned.
13,"Because Modi did not order enough vaccines &amp; prepare for Covid, thousands of Indians died gasping for breath, hundreds of bodies floated down the Ganga, those buried in shallow graves on the banks were eaten by dogs, but mad @_YogendraYadav thinks there’s no alternative to Modi."
14,@aajtak All frauds took place during Congress Government All fraudulent ran Away and now getting scrutinized during BJP Government but still some literate idiots find it so difficult to understand such a simple thing.....Inka Modi kya Bhagwan bhi kuch nahi kar sakta
15,@Swamy39 @Janpratinidhi_ You have been an co-conspirator of Modi’s looting. Legally you all ganged up against middle class Indians. Karma is a bitch.
16,"@sonaliranade Leaders of that era were openly critical but never enemy ( matved not Maanved). But history is being twisted and used like poisonous dagger by the right to destroy his image. Patel, Shastri, Bose If they were alive they would have taken Modi out for just saying stupid things"
17,It is beyond any doubt that there exit no alternative of Modi ji as Prime Minister. https://t.co/fCkn8p62ku
